production_budget,opening_gross,usa_gross,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score,gross
237000000.0,77025481.0,760507625.0,2790439000.0,2009.0,1.78,178.0,4834.0,237000000.0,7.9,760505847.0
300000000.0,114732820.0,309420425.0,960996492.0,2007.0,2.35,169.0,48350.0,300000000.0,7.1,309404152.0
245000000.0,70403148.0,200074609.0,880674609.0,2015.0,2.35,148.0,11700.0,245000000.0,6.8,200074175.0
250000000.0,160887295.0,448139099.0,1081124605.0,2012.0,2.35,164.0,106759.0,250000000.0,8.5,448130642.0
250000000.0,30180188.0,73078100.0,284139100.0,2012.0,2.35,132.0,1873.0,263700000.0,6.6,73058679.0
258000000.0,151116516.0,336530303.0,894983373.0,2007.0,2.35,156.0,46055.0,258000000.0,6.2,336530303.0
260000000.0,48767052.0,200821936.0,592461732.0,2010.0,1.85,100.0,2036.0,260000000.0,7.8,200807262.0
250000000.0,191271109.0,459005868.0,1402808753.0,2015.0,2.35,141.0,92000.0,250000000.0,7.5,458991599.0
250000000.0,77835727.0,302305431.0,934394929.0,2009.0,2.35,153.0,58753.0,250000000.0,7.5,301956980.0
250000000.0,166007347.0,330360194.0,873637528.0,2016.0,2.35,183.0,24450.0,250000000.0,6.9,330249062.0
270000000.0,52535096.0,200081192.0,391081192.0,2006.0,2.35,169.0,29991.0,209000000.0,6.1,200069408.0
200000000.0,67528882.0,168368427.0,589580482.0,2008.0,2.35,106.0,2023.0,200000000.0,6.7,168368427.0
225000000.0,135634554.0,423315812.0,1066179725.0,2006.0,2.35,151.0,48486.0,225000000.0,7.3,423032628.0
215000000.0,29210849.0,89302115.0,260502115.0,2013.0,2.35,150.0,45757.0,215000000.0,6.5,89289910.0
225000000.0,116619362.0,291045518.0,668045518.0,2013.0,2.35,143.0,20495.0,225000000.0,7.2,291021565.0
225000000.0,55034805.0,141621490.0,419665568.0,2008.0,2.35,150.0,22697.0,225000000.0,6.6,141614023.0
220000000.0,207438708.0,623357910.0,1518812988.0,2012.0,1.85,173.0,87697.0,220000000.0,8.1,623279547.0
250000000.0,90151958.0,241071802.0,1045713802.0,2011.0,2.35,136.0,54083.0,250000000.0,6.7,241063875.0
225000000.0,54592779.0,179020854.0,624026776.0,2012.0,1.85,106.0,12572.0,225000000.0,6.8,179020854.0
250000000.0,54724334.0,255119788.0,956019788.0,2014.0,2.35,164.0,9152.0,250000000.0,7.5,255108370.0
230000000.0,62004688.0,262030663.0,757930663.0,2012.0,2.35,153.0,28489.0,230000000.0,7.0,262030663.0
200000000.0,36063385.0,105269730.0,321669741.0,2010.0,2.35,156.0,3244.0,200000000.0,6.7,105219735.0
225000000.0,73645197.0,258366855.0,958366855.0,2013.0,2.35,186.0,9152.0,225000000.0,7.9,258355354.0
180000000.0,26125000.0,70107728.0,372234864.0,2007.0,2.35,113.0,24106.0,180000000.0,6.1,70083519.0
207000000.0,50130145.0,218080025.0,562363449.0,2005.0,2.35,201.0,7123.0,207000000.0,7.2,218051260.0
200000000.0,28638131.0,659363944.0,2195169696.0,1997.0,2.35,194.0,45223.0,200000000.0,7.7,658672302.0
250000000.0,179139142.0,408084349.0,1153312277.0,2016.0,2.35,147.0,64798.0,250000000.0,8.2,407197282.0
209000000.0,25534825.0,65422625.0,303025485.0,2012.0,2.35,131.0,26679.0,209000000.0,5.9,65173160.0
150000000.0,208806270.0,652270625.0,1670400637.0,2015.0,2.0,124.0,8458.0,150000000.0,7.0,652177271.0
200000000.0,88364714.0,304360277.0,1108561013.0,2012.0,2.35,143.0,2039.0,200000000.0,7.8,304360277.0
200000000.0,88156227.0,373585825.0,788976453.0,2004.0,2.35,135.0,43388.0,200000000.0,7.3,373377893.0
200000000.0,174144585.0,409013994.0,1214811252.0,2013.0,2.35,195.0,30426.0,200000000.0,7.2,408992272.0
200000000.0,116101023.0,334191110.0,1025467110.0,2010.0,1.85,108.0,79957.0,200000000.0,6.5,334185206.0
210000000.0,102750665.0,234362462.0,460435291.0,2006.0,2.35,104.0,21714.0,210000000.0,6.8,234360014.0
200000000.0,82429469.0,268492764.0,743559607.0,2013.0,1.85,104.0,14863.0,200000000.0,7.3,268488329.0
200000000.0,108966307.0,402111870.0,836303693.0,2009.0,2.35,150.0,3218.0,200000000.0,6.0,402076689.0
210000000.0,100038390.0,245439076.0,1104054072.0,2014.0,2.35,165.0,3988.0,210000000.0,5.7,245428137.0
215000000.0,79110453.0,234911825.0,493311825.0,2013.0,2.35,130.0,73441.0,215000000.0,6.4,234903076.0
200000000.0,91608337.0,202853933.0,708982323.0,2014.0,2.35,142.0,28631.0,200000000.0,6.7,202853933.0
170000000.0,44026211.0,172062763.0,400062763.0,2010.0,2.35,125.0,25550.0,170000000.0,6.8,172051787.0
200000000.0,66135507.0,191452396.0,559852396.0,2011.0,2.35,106.0,4482.0,200000000.0,6.3,191450875.0
200000000.0,53174303.0,116601172.0,219851172.0,2011.0,2.35,123.0,17657.0,200000000.0,5.6,116593191.0
200000000.0,110307189.0,415004880.0,1066969703.0,2010.0,1.85,103.0,19085.0,200000000.0,8.3,414984497.0
200000000.0,42558390.0,125322469.0,371353001.0,2009.0,2.35,118.0,27468.0,200000000.0,6.6,125320003.0
190000000.0,147187040.0,353007020.0,1515048151.0,2015.0,2.35,140.0,79150.0,190000000.0,7.2,350034110.0
190000000.0,66411834.0,202359711.0,540007876.0,2013.0,2.35,123.0,32392.0,190000000.0,7.0,202351611.0
200000000.0,90823660.0,233921534.0,746045700.0,2014.0,2.35,149.0,91434.0,200000000.0,8.0,233914986.0
190000000.0,70165559.0,228778661.0,467365246.0,2013.0,2.35,132.0,21411.0,190000000.0,7.8,228756232.0
195000000.0,27202226.0,65187603.0,197687603.0,2013.0,2.35,114.0,1766.0,195000000.0,6.3,65171860.0
105000000.0,50085185.0,144840419.0,353641895.0,2013.0,2.35,143.0,29770.0,105000000.0,7.3,144812796.0
200000000.0,30095259.0,90759676.0,336365676.0,2010.0,2.35,116.0,16149.0,200000000.0,6.6,90755643.0
190000000.0,37285325.0,101802906.0,411002906.0,2013.0,1.85,131.0,19166.0,190000000.0,7.0,101785482.0
195000000.0,97852865.0,352390543.0,1123794079.0,2011.0,2.35,154.0,2593.0,195000000.0,6.3,352358779.0
185000000.0,100137835.0,317101119.0,790653942.0,2008.0,2.35,122.0,14959.0,185000000.0,6.2,317011114.0
200000000.0,39155217.0,123087120.0,332207671.0,2015.0,2.35,93.0,696.0,44864314.55348956,6.8,123070338.0
185000000.0,66323594.0,237283207.0,538983207.0,2012.0,2.35,93.0,5005.0,185000000.0,7.2,237282182.0
185000000.0,59253211.0,158848340.0,343471816.0,2016.0,2.35,122.0,1327.0,185000000.0,7.5,130468626.0
180000000.0,63087526.0,223808164.0,521311860.0,2008.0,2.35,98.0,2975.0,180000000.0,8.4,223806889.0
140000000.0,50237000.0,140125968.0,258097122.0,2007.0,2.35,91.0,1125.0,140000000.0,6.2,140080850.0
200000000.0,65237614.0,166112167.0,791217826.0,2009.0,2.35,158.0,2144.0,200000000.0,5.8,166112167.0
200000000.0,30051075.0,137855863.0,325286646.0,2009.0,2.35,96.0,48878.0,200000000.0,6.8,137850096.0
176000000.0,18372372.0,47387723.0,183887723.0,2015.0,2.35,127.0,47334.0,176000000.0,5.4,47375327.0
180000000.0,38527856.0,126643061.0,356700357.0,2016.0,2.35,110.0,21175.0,180000000.0,6.6,124051759.0
180000000.0,65556312.0,291710957.0,745013115.0,2005.0,2.35,150.0,1317.0,180000000.0,6.9,291709845.0
178000000.0,65769562.0,155442489.0,543934105.0,2016.0,2.35,144.0,49684.0,178000000.0,7.3,154985087.0
185000000.0,158411483.0,535234033.0,1038046191.0,2008.0,2.35,152.0,57802.0,185000000.0,9.0,533316061.0
